,$n$,$c$,$\nu_8$,$f$,$\epsilon$,$\frac{k_{diss}}{k_f}$,$F_f$,$Ro_f$,$Bu$,$\frac{<\bf \Omega_0 >}{{(P k_f^2)}^{2/3}}$,$E$,$t_{stat}$,$t_{\max}$,short name
1,960,10,1.5605833542214703e-10,0.0,1.0364109000094672,28.834865839720596,0.11118775270395125,inf,inf,1.0,2.629674033707865,4.451477,49.88121,noise_c10nh960Buinf
2,1920,10,9.676842414746963e-13,0.0,1.0600451354307054,57.66973167944119,0.11202658081649833,inf,inf,1.0,3.0140796473214286,4.661181,49.8405,noise_c10nh1920Buinf
3,3840,10,6.000402276913993e-15,0.0,1.0978536429622066,115.33946335888238,0.11334293235257417,inf,inf,1.0,3.599781004494382,5.222821,49.85746,noise_c10nh3840Buinf
4,7680,10,3.7247953852613966e-17,0.0,1.1750541133299552,230.67892671776477,0.11593972098893898,inf,inf,1.0,4.495117532110092,6.116603,16.94066,noise_c10nh7680Buinf
5,960,20,1.562292418358341e-10,0.0,1.0047128919343669,28.834865839720596,0.05502122953862513,inf,inf,1.0,3.1226274279279282,4.875,49.86719,noise_c20nh960Buinf
6,1920,20,9.676842414746963e-13,21.32583810316016,0.8378326337245692,57.66973167944119,0.051788745406389516,0.03662017306600169,0.5,1.0,7.918086510180996,11.04151,99.87387,noise_c20nh1920Bu0.5
7,1920,20,9.676842414746963e-13,15.079644737231009,0.894440043267003,57.66973167944119,0.05292977455355374,0.05292977455355374,1.0,1.0,5.581304925683061,7.920573,99.83433,noise_c20nh1920Bu1.0
8,1920,20,9.676842414746963e-13,10.66291905158008,0.9381982927726932,57.66973167944119,0.05377922164374569,0.07605530462245386,2.0,1.0,4.355629456404736,6.617187,99.83117,noise_c20nh1920Bu2.0
9,1920,20,9.676842414746963e-13,7.539822368615504,0.9797718789776778,57.66973167944119,0.05456212669025645,0.1091242533805129,4.0,1.0,3.9394590288461537,6.115885,99.84072,noise_c20nh1920Bu4.0
10,1920,20,9.687439954624895e-13,0.0,1.0173227946994279,57.66973167944119,0.05525045913871672,inf,inf,1.0,3.6385724530289725,5.614583,119.882,noise_c20nh1920Buinf
11,3840,20,6.00697358392591e-15,0.0,1.0769105506814294,115.33946335888238,0.056308787637195455,inf,inf,1.0,4.4938479804964535,6.917684,119.8974,noise_c20nh3840Buinf
12,7680,20,3.7247953852613966e-17,0.0,1.2082943676940205,230.67892671776477,0.05851140812577499,inf,inf,1.0,5.77305793705036,8.519169,119.8409,noise_c20nh7680Buinf
13,960,40,1.5605833542214703e-10,0.0,0.995528686763206,28.834865839720596,0.027426532062306396,inf,inf,1.0,3.952505904109589,6.015625,49.82943,noise_c40nh960Buinf
14,1920,40,9.676842414746963e-13,0.0,0.9977520506138796,57.66973167944119,0.02744693456168702,inf,inf,1.0,4.777497887587822,7.11849,49.82943,noise_c40nh1920Buinf
15,3840,40,6.000402276913993e-15,0.0,1.0640346705238959,115.33946335888238,0.02804173604157803,inf,inf,1.0,6.066111294403893,8.722656,49.82943,noise_c40nh3840Buinf
16,960,100,1.562292418358341e-10,0.0,0.9994937836868574,28.834865839720596,0.010985158502900326,inf,inf,1.0,5.921387595121952,8.722396,49.83542,noise_c100nh960Buinf
17,1920,100,9.687439954624895e-13,0.0,1.0096839377966988,57.66973167944119,0.011022364729138458,inf,inf,1.0,7.376514791058394,10.22109,119.8451,noise_c100nh1920Buinf
18,3840,100,6.00697358392591e-15,0.0,1.0620932764384114,115.33946335888238,0.011209868423041487,inf,inf,1.0,9.413569486792452,13.91667,119.891,noise_c100nh3840Buinf
19,7680,100,3.7247953852613966e-17,0.0,1.2170832864272159,230.67892671776477,0.01173058654707302,inf,inf,1.0,12.599262441249998,17.20566,95.81348,noise_c100nh7680Buinf
20,960,400,1.562292418358341e-10,0.0,1.141472682369671,28.834865839720596,0.002870614084446027,inf,inf,1.0,12.26371348173077,15.91927,119.891,noise_c400nh960Buinf
21,1920,400,9.687439954624895e-13,0.0,1.1515868075302707,57.66973167944119,0.0028790676135705896,inf,inf,1.0,15.491797110547667,21.30833,119.8455,noise_c400nh1920Buinf
22,3840,400,6.00697358392591e-15,0.0,1.1232427835295826,115.33946335888238,0.002855250280652739,inf,inf,1.0,19.165083457323497,25.5069,119.4005,noise_c400nh3840Buinf
23,960,700,1.5605833542214703e-10,0.0,1.2697629949413727,28.834865839720596,0.0016996355666153908,inf,inf,1.0,16.86948187662338,19.10692,49.82976,noise_c700nh960Buinf
24,1920,700,9.676842414746963e-13,0.0,1.0542075859018207,57.66973167944119,0.0015974366130413337,inf,inf,1.0,19.507801873646212,22.20644,49.8167,noise_c700nh1920Buinf
