,$n$,$c$,$\nu_8$,$\nu_2$,$f$,$\epsilon$,$\frac{k_{diss}}{k_f}$,$F_f$,$Ro_f$,$Bu$,$\frac{<\bf \Omega_0 >}{{(P k_f^2)}^{2/3}}$,$E$,$t_{stat}$,$t_{\max}$,short name
W1,960,10,1.5605833542214703e-10,0.0,0.0,1.0361017436779463,28.834865839720596,0.16282848707070302,inf,inf,1.0,2.629440896860987,4.451477,49.98453,noise_c10nh960Buinf
W2,1920,10,9.676842414746963e-13,0.0,0.0,1.059931973361537,57.66973167944119,0.16406738285906874,inf,inf,1.0,3.0140074944320716,4.661181,49.94055,noise_c10nh1920Buinf
W3,3840,10,6.000402276913993e-15,0.0,0.0,1.098003511024591,115.33946335888238,0.1660086925006025,inf,inf,1.0,3.6001623206278026,5.222821,49.95841,noise_c10nh3840Buinf
W4,7680,10,3.7247953852613966e-17,0.0,0.0,1.1979069818279082,230.67892671776477,0.17089811984644723,inf,inf,1.0,4.522083157068063,6.316804,25.22487,noise_c10nh7680Buinf
W5,960,20,1.562292418358341e-10,0.0,0.0,1.0046861066403858,28.834865839720596,0.08058293030896566,inf,inf,1.0,3.122561301123596,4.875,49.96875,noise_c20nh960Buinf
W6,1920,20,9.687439954624895e-13,0.0,0.0,1.017348732403506,57.66973167944119,0.08092006194067428,inf,inf,1.0,3.638741657894737,5.614583,119.9822,noise_c20nh1920Buinf
W7,3840,20,6.00697358392591e-15,0.0,0.0,1.0769475708850174,115.33946335888238,0.08247033855865825,inf,inf,1.0,4.493771385296723,6.917684,119.9976,noise_c20nh3840Buinf
W8,7680,20,3.7247953852613966e-17,0.0,0.0,1.2083083140936675,230.67892671776477,0.08569566337434645,inf,inf,1.0,5.773166941599281,8.519169,119.9412,noise_c20nh7680Buinf
W9,960,40,1.5605833542214703e-10,0.0,0.0,0.9958170571781629,28.834865839720596,0.040172554482559214,inf,inf,1.0,3.952688617312073,6.015625,49.92969,noise_c40nh960Buinf
W10,1920,40,9.676842414746963e-13,0.0,0.0,0.9980144172735547,57.66973167944119,0.04020208089644873,inf,inf,1.0,4.777822287383177,7.11849,49.92969,noise_c40nh1920Buinf
W11,3840,40,6.000402276913993e-15,0.0,0.0,1.0641736041974066,115.33946335888238,0.04107148656635487,inf,inf,1.0,6.066412415048544,8.722656,49.92969,noise_c40nh3840Buinf
# W12,7680,40,3.7247953852613966e-17,0.0,0.0,1.170503607085865,230.67892671776477,0.04239622420980703,inf,inf,1.0,7.8653202657807295,10.81055,40.83984,noise_c40nh7680Buinf
W13,960,100,1.562292418358341e-10,0.0,0.0,0.9993832981701666,28.834865839720596,0.016088181179478273,inf,inf,1.0,5.921589900243309,8.722396,49.93594,noise_c100nh960Buinf
W14,1920,100,9.687439954624895e-13,0.0,0.0,1.0098790919144125,57.66973167944119,0.016144305966677652,inf,inf,1.0,7.376695098450318,10.22109,119.9453,noise_c100nh1920Buinf
W15,3840,100,6.00697358392591e-15,0.0,0.0,1.0621758842251874,115.33946335888238,0.016418307993526313,inf,inf,1.0,9.413934549481622,13.91667,119.9911,noise_c100nh3840Buinf
W16,7680,100,3.7247953852613966e-17,0.0,0.0,1.217147935495512,230.67892671776477,0.0171808260862963,inf,inf,1.0,12.599426737827715,17.20566,95.91354,noise_c100nh7680Buinf
W17,960,400,1.562292418358341e-10,0.0,0.0,1.1415868592494745,28.834865839720596,0.004204418274684421,inf,inf,1.0,12.263594219980787,15.91927,119.9911,noise_c400nh960Buinf
W18,1920,400,9.687439954624895e-13,0.0,0.0,1.1515096184493356,57.66973167944119,0.004216564856428332,inf,inf,1.0,15.491122399189464,21.30833,119.9456,noise_c400nh1920Buinf
W19,3840,400,6.00697358392591e-15,0.0,0.0,1.1231379469039942,115.33946335888238,0.004181646293458928,inf,inf,1.0,19.16469388947369,25.5069,119.5005,noise_c400nh3840Buinf
W20,960,700,1.5605833542214703e-10,0.0,0.0,1.2701055222677433,28.834865839720596,0.0024894962753578493,inf,inf,1.0,16.87123637864078,19.10692,49.92984,noise_c700nh960Buinf
W21,1920,700,9.676842414746963e-13,0.0,0.0,1.0544864536582195,57.66973167944119,0.0023397989823383592,inf,inf,1.0,19.51007459352518,22.20644,49.91674,noise_c700nh1920Buinf
