,$n$,$c$,$\nu_8$,$\nu_2$,$f$,$\epsilon$,$\frac{k_{diss}}{k_f}$,$F_f$,$Ro_f$,$Bu$,$\frac{<\bf \Omega_0 >}{{(P k_f^2)}^{2/3}}$,$E$,$t_{stat}$,$t_{\max}$,short name
WV1,960,20,0.0,0.15366909634314874,0.0,0.9259602262608367,5.403796460924681,0.07842063739699076,inf,inf,1.0,4.846649201005026,4.875,24.98438,vortex_grid_c20nh960Buinfefr1.00e+00
WV2,1920,20,1.1117729174899334e-12,0.0,0.0,1.0184604636067847,56.58842421045167,0.08094952696275645,inf,inf,0.01,3.623089140271493,5.714844,49.92926,vortex_grid_c20nh1920Buinfefr1.00e-02
WV3,1920,20,1.1117729174899334e-12,0.0,0.0,1.0235792995110953,56.58842421045167,0.08108491924718284,inf,inf,0.1,3.8464074994675186,5.714844,99.96415,vortex_grid_c20nh1920Buinfefr1.00e-01
WV4,1920,20,1.1117729174899334e-12,0.0,0.0,1.0033285922183455,56.58842421045167,0.08054661986463757,inf,inf,1.0,4.858923651685393,5.414062,49.99276,vortex_grid_c20nh1920Buinfefr1.00e+00
WV5,1920,20,1.1117729174899334e-12,0.0,0.0,1.1618684035859927,56.58842421045167,0.08458341929686754,inf,inf,10.0,9.086117135667397,4.122243,49.92669,vortex_grid_c20nh1920Buinfefr1.00e+01
WV6,1920,100,1.1117729174899334e-12,0.0,0.0,1.0224602116813988,56.58842421045167,0.016211071639488754,inf,inf,0.01,7.406889362612612,11.12344,99.97109,vortex_grid_c100nh1920Buinfefr1.00e-02
WV7,1920,100,1.1117729174899334e-12,0.0,0.0,1.0178150626159976,56.58842421045167,0.01618648480847238,inf,inf,0.1,7.544151237612612,11.12344,99.97109,vortex_grid_c100nh1920Buinfefr1.00e-01
WV8,1920,100,1.1117729174899334e-12,0.0,0.0,1.0117775259450077,56.58842421045167,0.01615441599367125,inf,inf,1.0,8.655593371501272,10.7224,49.9776,vortex_grid_c100nh1920Buinfefr1.00e+00
WV9,1920,100,1.1117729174899334e-12,0.0,0.0,1.0682643073753015,56.58842421045167,0.01644961831904873,inf,inf,10.0,15.326689188596491,8.717187,99.97109,vortex_grid_c100nh1920Buinfefr1.00e+01
WV10,1920,100,1.1117729174899334e-12,0.0,0.0,2.2147310402223956,56.58842421045167,0.020975061856419216,inf,inf,100.0,97.99020729072164,1.503646,49.9776,vortex_grid_c100nh1920Buinfefr1.00e+02
WV11,1920,400,1.1117729174899334e-12,0.0,0.0,1.027432652323867,56.58842421045167,0.0040593271114142595,inf,inf,0.01,14.791712928327645,20.70794,49.92695,vortex_grid_c400nh1920Buinfefr1.00e-02
WV12,1920,400,1.1117729174899334e-12,0.0,0.0,1.0803030002355345,56.58842421045167,0.004127795014507477,inf,inf,0.1,15.049899251548945,19.30703,99.95951,vortex_grid_c400nh1920Buinfefr1.00e-01
WV13,1920,400,1.1117729174899334e-12,0.0,0.0,1.0411826660611638,56.58842421045167,0.004077355428933801,inf,inf,1.0,15.651586920886075,18.40645,49.92695,vortex_grid_c400nh1920Buinfefr1.00e+00
WV14,1920,400,1.1117729174899334e-12,0.0,0.0,1.1739056846110156,56.58842421045167,0.004243725946038868,inf,inf,10.0,22.84716931823745,18.30638,99.95951,vortex_grid_c400nh1920Buinfefr1.00e+01
WV15,1920,400,1.1117729174899334e-12,0.0,0.0,1.889961728095516,56.58842421045167,0.004973787936871079,inf,inf,100.0,102.2957506711111,5.00293,49.92695,vortex_grid_c400nh1920Buinfefr1.00e+02
