,$n$,$c$,$\nu_8$,$\nu_2$,$f$,$\epsilon$,$\frac{k_{diss}}{k_f}$,$F_f$,$Ro_f$,$Bu$,$\frac{<\bf \Omega_0 >}{{(P k_f^2)}^{2/3}}$,$E$,$t_{stat}$,$t_{\max}$,short name
WVR1,1920,20,1.1117729174899334e-12,0.0,7.539822368615504,1.0316567048080938,56.58842421045167,0.08129765001959142,0.051755691449491596,4.0,0.01,5.426502439130435,8.004515,99.95639,vortex_grid_c20nh1920Bu4.0efr1.00e-02
WVR2,1920,20,1.1117729174899334e-12,0.0,3.371911070899549,1.0291166261802853,56.58842421045167,0.08123087324086563,0.11563418588383367,20.0,1.0,5.509104070815451,6.524734,99.9455,vortex_grid_c20nh1920Bu20.0efr1.00e+00
WVR3,1920,100,1.1117729174899334e-12,0.0,75.39822368615503,0.9322764666716666,56.58842421045167,0.015719708676483545,0.005003738679653825,1.0,0.01,16.58377364470284,22.60212,99.90937,vortex_grid_c100nh1920Bu1.0efr1.00e-02
WVR4,1920,100,1.1117729174899334e-12,0.0,75.39822368615503,0.9147788625539993,56.58842421045167,0.01562074081274275,0.00497223623021064,1.0,0.1,17.3154063307393,22.90215,99.90937,vortex_grid_c100nh1920Bu1.0efr1.00e-01
WVR5,1920,100,1.1117729174899334e-12,0.0,75.39822368615503,1.1427901257715798,56.58842421045167,0.01682357979991818,0.005355111771315877,1.0,1.0,32.96456210866753,22.70213,99.90937,vortex_grid_c100nh1920Bu1.0efr1.00e+00
WVR6,1920,100,1.1117729174899334e-12,0.0,53.3145952579004,0.9913137662501084,56.58842421045167,0.016044762706712627,0.007222680826861217,2.0,0.01,13.898684059405939,19.2021,99.91091,vortex_grid_c100nh1920Bu2.0efr1.00e-02
WVR7,1920,100,1.1117729174899334e-12,0.0,53.3145952579004,0.9980017448079465,56.58842421045167,0.016080764295214867,0.007238887235629286,2.0,0.1,15.379872869888477,19.30211,99.91091,vortex_grid_c100nh1920Bu2.0efr1.00e-01
WVR8,1920,100,1.1117729174899334e-12,0.0,53.3145952579004,1.0622773138759432,56.58842421045167,0.016418830584390795,0.007391070533673173,2.0,1.0,21.340318120347394,19.40212,99.91091,vortex_grid_c100nh1920Bu2.0efr1.00e+00
WVR9,1920,100,1.1117729174899334e-12,0.0,37.69911184307752,1.0362314822048748,56.58842421045167,0.016283528313633926,0.0103664160883667,4.0,0.01,11.866686891826923,16.80948,99.95639,vortex_grid_c100nh1920Bu4.0efr1.00e-02
WVR10,1920,100,1.1117729174899334e-12,0.0,37.69911184307752,1.0409791770342984,56.58842421045167,0.016308359140552307,0.010382223883747176,4.0,0.1,13.299825229016786,16.60937,99.95639,vortex_grid_c100nh1920Bu4.0efr1.00e-01
WVR11,1920,100,1.1117729174899334e-12,0.0,37.69911184307752,1.0428247102041242,56.58842421045167,0.016317991049109585,0.010388355747180375,4.0,1.0,15.617080707287935,16.3092,99.95639,vortex_grid_c100nh1920Bu4.0efr1.00e+00
WVR12,1920,100,1.1117729174899334e-12,0.0,37.69911184307752,1.2467031873331411,56.58842421045167,0.01731877922666415,0.01102547728896333,4.0,10.0,90.70337776632303,12.70717,99.95639,vortex_grid_c100nh1920Bu4.0efr1.00e+01
WVR13,1920,100,1.1117729174899334e-12,0.0,37.69911184307752,1.6557036693524902,56.58842421045167,0.019036646988597104,0.012119105872522693,4.0,100.0,104.90411626016261,1.600903,99.95639,vortex_grid_c100nh1920Bu4.0efr1.00e+02
